,v001,v002,response,v4,v5,v14,v29,v120,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v172.1
142,18.0,26.0,0,2500.0,1.0,2901.2,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,18.0,24.0,0,600.0,1.0,600.0,11.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,6.0,27.0,0,750.0,1.0,789.0,4.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,9.0,30.0,0,4800.0,3.0,4846.82,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,11.0,27.0,0,800.0,1.0,800.0,1.0,,1.0,1042830000.0,5278.0,1498903390.0,0.0,1498903388.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
148,13.0,30.0,0,1000.0,1.0,1000.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,15.0,26.0,0,2667.94,2.0,2667.94,8.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,11.0,30.0,0,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,13.0,44.0,0,2000.0,1.0,2016.4,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,13.0,21.0,0,1000.0,1.0,1000.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,16.0,22.0,0,1020.0,2.0,1094.88,12.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,3.0,29.0,0,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,8.0,63.0,0,1000.0,1.0,1053.8,55.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,9.0,36.0,0,2000.0,1.0,2000.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,10.0,22.0,1,2764.79,2.0,2769.5,10.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,10.0,23.0,0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,11.0,75.0,0,3333.33,1.0,3333.33,1.0,,,893793600.0,7007.0,1499246580.0,0.0,1499246580.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
161,12.0,35.0,0,1300.0,2.0,1301.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,13.0,44.0,0,9511.5,4.0,8314.8,31.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,13.0,56.0,0,2951.93,1.0,1009.02,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,13.0,20.0,0,5838.23,3.0,6105.03,16.0,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,13.0,47.0,1,1600.0,1.0,1600.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,13.0,32.0,0,,,,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,14.0,57.0,0,2100.0,1.0,2116.4,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,14.0,22.0,0,407.0,1.0,347.98,4.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,14.0,20.0,1,1600.0,2.0,1641.5,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,14.0,34.0,0,1700.0,1.0,1712.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,16.0,36.0,0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,16.0,37.0,0,3507.25,4.0,2087.77,36.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,16.0,34.0,0,,,,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,16.0,24.0,0,1200.0,2.0,1200.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,17.0,62.0,0,2872.74,1.0,3102.47,7.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
